Date : 2023-04-15 19:01:01
Directory : d:\PlantLink
Total : 58 files,  32180 codes, 586 comments, 2061 blanks, all 34827 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\PlantLink\src\public\index_estilos\fonts\fontawesome-webfont.svg | SVG        |      2,671 |          0 |          1 |      2,672 |
| d:\PlantLink\src\public\index_estilos\fonts\icomoon.svg             | SVG        |         50 |          0 |          0 |         50 |
| d:\PlantLink\src\public\index_estilos\fonts\lg.svg                  | SVG        |         41 |          0 |          0 |         41 |
| d:\PlantLink\src\public\index_estilos\index.html                    | HTML       |        417 |         35 |        134 |        586 |
| d:\PlantLink\src\public\index_estilos\js\active.js                  | JavaScript |         91 |          9 |         17 |        117 |
| d:\PlantLink\src\public\index_estilos\js\bootstrap\bootstrap.min.js | JavaScript |          1 |          6 |          0 |          7 |
| d:\PlantLink\src\public\index_estilos\js\bootstrap\popper.min.js    | JavaScript |          1 |          4 |          0 |          5 |
| d:\PlantLink\src\public\index_estilos\js\google-map\map-active.js   | JavaScript |         40 |          0 |          0 |         40 |
| d:\PlantLink\src\public\index_estilos\js\jquery.cbpQTRotator.min.js | JavaScript |          1 |         10 |          0 |         11 |
| d:\PlantLink\src\public\index_estilos\js\jquery\jquery-2.2.4.min.js | JavaScript |          3 |          1 |          1 |          5 |
| d:\PlantLink\src\public\index_estilos\js\plugins\plugins.js         | JavaScript |         32 |         63 |         14 |        109 |
| d:\PlantLink\src\public\index_estilos\scss\_mixin.scss              | SCSS       |         57 |          0 |         11 |         68 |
| d:\PlantLink\src\public\index_estilos\scss\_responsive.scss         | SCSS       |          6 |          0 |          5 |         11 |
| d:\PlantLink\src\public\index_estilos\scss\_theme_color.scss        | SCSS       |         10 |         10 |          9 |         29 |
| d:\PlantLink\src\public\index_estilos\scss\_variables.scss          | SCSS       |          1 |          1 |          0 |          2 |
| d:\PlantLink\src\public\index_estilos\scss\style.scss               | SCSS       |      1,373 |         27 |        102 |      1,502 |
| d:\PlantLink\src\public\index_estilos\style.css                     | CSS        |      1,305 |         31 |        154 |      1,490 |
| d:\PlantLink\src\public\sensores\style.css                          | CSS        |         86 |         34 |         20 |        140 |
| d:\PlantLink\src\sensores.html                                      | HTML       |        209 |         24 |         42 |        275 |
| d:\PlantLink\src\verificacion.html                                  | HTML       |         64 |          1 |          4 |         69 |
| Total                                                               |            |     32,180 |        586 |      2,061 |     34,827 |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
