"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "CSS", "SCSS", "SVG", "comment", "blank", "total"
"d:\PlantLink\src\public\index_estilos\js\google-map\map-active.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 40
"d:\PlantLink\src\public\index_estilos\js\jquery.cbpQTRotator.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 10, 0, 11
"d:\PlantLink\src\public\index_estilos\js\jquery\jquery-2.2.4.min.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 1, 1, 5
"d:\PlantLink\src\public\index_estilos\js\plugins\plugins.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 63, 14, 109
"d:\PlantLink\src\public\index_estilos\scss\_mixin.scss", "SCSS", 0, 0, 0, 0, 0, 57, 0, 0, 11, 68
"d:\PlantLink\src\public\index_estilos\scss\_responsive.scss", "SCSS", 0, 0, 0, 0, 0, 6, 0, 0, 5, 11
"d:\PlantLink\src\public\index_estilos\scss\_theme_color.scss", "SCSS", 0, 0, 0, 0, 0, 10, 0, 10, 9, 29
"d:\PlantLink\src\public\index_estilos\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\PlantLink\src\public\index_estilos\scss\style.scss", "SCSS", 0, 0, 0, 0, 0, 1373, 0, 27, 102, 1502
"d:\PlantLink\src\public\index_estilos\style.css", "CSS", 0, 0, 0, 0, 1305, 0, 0, 31, 154, 1490
"d:\PlantLink\src\public\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"d:\PlantLink\src\public\js\jquery-3.3.1.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\PlantLink\src\public\js\main.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
"d:\PlantLink\src\public\js\owl.carousel.min.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 5, 0, 7
"d:\PlantLink\src\public\js\popper.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 4, 0, 5
"d:\PlantLink\src\public\sensores\style.css", "CSS", 0, 0, 0, 0, 82, 0, 0, 34, 18, 134
"d:\PlantLink\src\sensores.html", "HTML", 0, 0, 177, 0, 0, 0, 0, 12, 27, 216
"d:\PlantLink\src\verificacion.html", "HTML", 0, 0, 64, 0, 0, 0, 0, 1, 4, 69
"Total", "-", 53949, 15, 26611, 464, 17700, 1447, 4303, 540, 3680, 108709
